name,size
covid,
covid.Treatments,
covid.Treatments.Vitamin D,173
covid.Treatments.UV-B,1
covid.Treatments.Haut,1
covid.Treatments.Supplementierung,9
covid.Treatments.Vitamin-D-verwandte Gene,1
covid.Treatments.Pathogenese,2
covid.Treatments.Behandlungsergebnis,1
covid.Treatments.Virale Infektionen,4
covid.Treatments.Stürze,2
covid.Treatments.Gebrechlichkeit,2
covid.Treatments.Körperliche Aktivität,27
covid.Treatments.hochdosierte orale Vitamin-D-Therapie,1
covid.Treatments.Entzündungsmarker,1
covid.Treatments.N/L-Ratio,1
covid.Treatments.CRP,4
covid.Treatments.LDH,1
covid.Treatments.IL6,1
covid.Treatments.Ferritin,2
covid.Treatments.Korea,1
covid.Treatments.sportliche Aktivität,1
covid.Treatments.Sportbeteiligung,2
covid.Treatments.Knochen,2
covid.Treatments.extraskelettale Effekte,1
covid.Treatments.Fettleibigkeit,7
covid.Treatments.Parathormon,1
covid.Treatments.Lebensmittel,1
covid.Treatments.Immunkomponenten,1
covid.Treatments.Nährstoffe,3
covid.Treatments.Vitamin C,25
covid.Treatments.Zink,42
covid.Treatments.Angiotensin konvertierendes Enzym 2 (ACE2),7
covid.Treatments.Lockdown,8
covid.Treatments.Ernährung,23
covid.Treatments.ältere Erwachsene,5
covid.Treatments.Coronavirus,34
covid.Treatments.Immunologie,3
covid.Treatments.Sterblichkeitsrate,2
covid.Treatments.immunmodulatorische Wirkung,1
covid.Treatments.Immunpathogenese,3
covid.Treatments.Infektionskrankheiten,6
covid.Treatments.Pandemie,17
covid.Treatments.Eisen,6
covid.Treatments.Ivermectin,35
covid.Treatments.Ost-Indien,1
covid.Treatments.Calciferol,1
covid.Treatments.systematische Überprüfung,5
covid.Treatments.Meta-Analyse,9
covid.Treatments.Ambulante Patienten,2
covid.Treatments.Hydroxychloroquin,9
covid.Treatments.Azithromycin,4
covid.Treatments.Barrieren,1
covid.Treatments.Bildung,2
covid.Treatments.Umwelt,2
covid.Treatments.Gesundheit,4
covid.Treatments.pflanzliche Ernährung,1
covid.Treatments.Sport,4
covid.Treatments.vegane Ernährung,1
covid.Treatments.Coronavirus-Krankheit 2019,5
covid.Treatments.Pädiatrisches entzündliches Multisystem-Syndrom,1
covid.Treatments.Multisystem-Entzündungssyndrom bei Kindern,1
covid.Treatments.Pädiatrische Intensivstation,1
covid.Treatments.Vitamin D-Mangel,10
covid.Treatments.Einfacher Algorithmus für die Therapie zu Hause,1
covid.Treatments.Beobachtungsstudie mit abgestimmter Kohorte,1
covid.Treatments.Hausärzte,1
covid.Treatments.Frühe Symptome zu Hause,1
covid.Treatments.Immunität,17
covid.Treatments.Sterblichkeit,21
covid.Treatments.ICU-Aufnahme,1
covid.Treatments.Krankenhausaufenthalt,5
covid.Treatments.COVID-19-Impfstoffe,1
covid.Treatments.Chloroquin,2
covid.Treatments.evidenzbasierte Praxis,1
covid.Treatments.Magnesium,9
covid.Treatments.Kupfer,9
covid.Treatments.Schweregrad,20
covid.Treatments.Mortalität,8
covid.Treatments.Zinktherapie,1
covid.Treatments.Mikroelement,1
covid.Treatments.immunstärkend,1
covid.Treatments.Wirksamkeit,5
covid.Treatments.Lungenentzündung,3
covid.Treatments.2019-nCoV,3
covid.Treatments.Azithomycin,1
covid.Treatments.Klinische Studien,5
covid.Treatments.Vitamin,3
covid.Treatments.Immunonutrition,1
covid.Treatments.Nahrungsergänzung,7
covid.Treatments.antivirales Potential,1
covid.Treatments.Epidemiologie,2
covid.Treatments.Wirkungsweise,1
covid.Treatments.phylogenetisch,1
covid.Treatments.Phytochemikalien,2
covid.Treatments.antivirale Medikamente,2
covid.Treatments.Paxlovic,1
covid.Treatments.Molnupiravir,8
covid.Treatments.Quercetin,5
covid.Treatments.Selen,21
covid.Treatments.Vitamin A,7
covid.Treatments.Holunder,1
covid.Treatments.Knoblauch,1
covid.Treatments.Süßholz,1
covid.Treatments.Brennnessel,1
covid.Treatments.Grippe,3
covid.Treatments.Anämie,2
covid.Treatments.n-3 PUFA,1
covid.Treatments.Probiotika,3
covid.Treatments.anti-inflammatorisch,1
covid.Treatments.Kortikosteroide,2
covid.Treatments.Zytokinsturm,21
covid.Treatments.Veteranen,1
covid.Treatments.körperliche Inaktivität,1
covid.Treatments.Erwachsene,1
covid.Treatments.Zeitraum des Sitzens,1
covid.Treatments.Bewegungsverhalten,1
covid.Treatments.Determinanten,1
covid.Treatments.COM-B-Modell,1
covid.Treatments.Verhaltensänderung,1
covid.Treatments.Vitamin-E-Supplementierung,1
covid.Treatments.ältere Menschen,4
covid.Treatments.Antioxidantienstatus,1
covid.Treatments.Immunsystem,22
covid.Treatments.Atemwegsinfektionen,3
covid.Treatments.Influenza,2
covid.Treatments.Bewegung,13
covid.Treatments.Bevölkerungsrepräsentative Umfrage,1
covid.Treatments.Gesundheitspolitik,1
covid.Treatments.Calcidiol,4
covid.Treatments.Inflammation,1
covid.Treatments.Antibacterial,1
covid.Treatments.Antiviral,2
covid.Treatments.Cathelicidin,3
covid.Treatments.β-defensin 2,1
covid.Treatments.NOD2,1
covid.Treatments.Coronavirus-Erkrankung 2019,5
covid.Treatments.niedriger Vitamin-D-Status,1
covid.Treatments.25-Hydroxyvitamin D,6
covid.Treatments.gesundheitsbezogene Angaben,1
covid.Treatments.Mikronährstoffe,18
covid.Treatments.Nahrungsergänzungsmittel,10
covid.Treatments.Melatonin,8
covid.Treatments.Interleukin,1
covid.Treatments.Tumor-Nekrose-Faktor,1
covid.Treatments.Nutrazeutika,4
covid.Treatments.Lang-COVID,1
covid.Treatments.Symptome,1
covid.Treatments.Virus,4
covid.Treatments.milde Erkrankung,1
covid.Treatments.mittelschwere Erkrankung,1
covid.Treatments.Wirkmechanismus,2
covid.Treatments.Therapie,5
covid.Treatments.Rolle bei der COVID-19-Infektion,1
covid.Treatments.Traditionelle Chinesische Medizin,1
covid.Treatments.TCM,1
covid.Treatments.Glycyrrhizin,2
covid.Treatments.Flavonoide,5
covid.Treatments.Polyphenole,1
covid.Treatments.Cannabis,1
covid.Treatments.Parkinson-Krankheit,1
covid.Treatments.Prophylaxe,11
covid.Treatments.Prävention,10
covid.Treatments.Decorin,1
covid.Treatments.Alterung,4
covid.Treatments.Myokine,1
covid.Treatments.Osteokine,1
covid.Treatments.25(OH)D3,3
covid.Treatments.24.25(OH)2D3,1
covid.Treatments.3-epi-25(OH)D3,1
covid.Treatments.Mangelernährung,4
covid.Treatments.Ascorbinsäure,2
covid.Treatments.Thiamin,1
covid.Treatments.Hesperidin,8
covid.Treatments.Behandlung,9
covid.Treatments.Viruseintritt,1
covid.Treatments.antivirale Aktivität,1
covid.Treatments.Folat,1
covid.Treatments.Repurposing von Medikamenten,1
covid.Treatments.zukünftige Pandemien,2
covid.Treatments.Erfahrung in der Behandlung,1
covid.Treatments.Körpertemperatur,1
covid.Treatments.tragbare Geräte,1
covid.Treatments.9-Achsen-IMU,1
covid.Treatments.Temperatursensoren,1
covid.Treatments.Innenraumbedingungen,1
covid.Treatments.Aktivitätserkennung,1
covid.Treatments.BLE,1
covid.Treatments.Arduino nano 33 BLE sense,1
covid.Treatments.ARDS,3
covid.Treatments.schweres akutes respiratorisches Syndrom,1
covid.Treatments.Körperzusammensetzung,1
covid.Treatments.Vitamine,19
covid.Treatments.Ernährungsmuster,2
covid.Treatments.Darm,1
covid.Treatments.Selbstmedikationspraktiken,1
covid.Treatments.Management,2
covid.Treatments.Zitrusfrüchte,3
covid.Treatments.Hesperetin,2
covid.Treatments.hydrodynamische Kavitation,1
covid.Treatments.Pektin,1
covid.Treatments.Alterungsprozess,1
covid.Treatments.Immunoseneszenz,1
covid.Treatments.entzündungshemmende Diät,1
covid.Treatments.COVID-19 und Ernährung,1
covid.Treatments.Lactoferrin,1
covid.Treatments.Endokrinopathie,1
covid.Treatments.Essgewohnheiten,1
covid.Treatments.Vitaminsupplementierung,1
covid.Treatments.Verzehr von eingelegten Lebensmitteln,1
covid.Treatments.täglicher Lebensstil,1
covid.Treatments.Interferon,2
covid.Treatments.sitzendes Verhalten,1
covid.Treatments.Photosynthese,1
covid.Treatments.Aerobes Training,1
covid.Treatments.Aerobe Kapazität,1
covid.Treatments.Immunbiomarker,1
covid.Treatments.Flavanoide,1
covid.Treatments.Epicatechin,1
covid.Treatments.Epigallocatechingallat,4
covid.Treatments.Naringenin,1
covid.Treatments.Rutin,1
covid.Treatments.Luteolin,1
covid.Treatments.Baicalin,2
covid.Treatments.Diosmin,1
covid.Treatments.Genistein,1
covid.Treatments.Biochanin A,1
covid.Treatments.Silymarin,1
covid.Treatments.Senioren,2
covid.Treatments.wiederverwendete Medikamente,1
covid.Treatments.Rekonvaleszenzplasma,1
covid.Treatments.monoklonale Antikörper,2
covid.Treatments.Immunglobuline,1
covid.Treatments.Zelltherapie,1
covid.Treatments.Italien,1
covid.Treatments.Zytokine,5
covid.Treatments.Epigenetik,2
covid.Treatments.Mineralien,6
covid.Treatments.Sturm,1
covid.Treatments.Risikofaktoren,3
covid.Treatments.Intensivstation,9
covid.Treatments.Hypervitaminose D,1
covid.Treatments.Vitamin D Toxizität,1
covid.Treatments.Hyperkalzämie,1
covid.Treatments.Schilddrüse,1
covid.Treatments.Hoden,1
covid.Treatments.Eierstöcke,1
covid.Treatments.endokrin,1
covid.Treatments.Diabetes,3
covid.Treatments.Doxycyclin,2
covid.Treatments.Favipiravir,3
covid.Treatments.Remdesivir,9
covid.Treatments.Repurposing-Medikamente,1
covid.Treatments.Rivaroxaban,1
covid.Treatments.immunvermittelte Krankheiten,1
covid.Treatments.Cholecalciferol,3
covid.Treatments.COVID-19 Sepsis,1
covid.Treatments.Darm-Mikrobiom,1
covid.Treatments.ACE2 Immun-Seneszenz,1
covid.Treatments.Entzündung,23
covid.Treatments.Impfung,4
covid.Treatments.Biomarker,2
covid.Treatments.Diagnosen,1
covid.Treatments.Metabolomics,1
covid.Treatments.Prognosen,1
covid.Treatments.Agomelatin,1
covid.Treatments.Repurposing von Arzneimitteln,1
covid.Treatments.Interferone,1
covid.Treatments.Ramelteon,1
covid.Treatments.Virusübertragung,1
covid.Treatments.Fitnesscenter,1
covid.Treatments.Norwegen,1
covid.Treatments.TMPRSS2,3
covid.Treatments.ACE2,8
covid.Treatments.D614G,1
covid.Treatments.501Y.v2,1
covid.Treatments.Immunmodulation,5
covid.Treatments.RT-PCR,2
covid.Treatments.Cyanobakterielle Metaboliten,1
covid.Treatments.Bindungsaffinitäten,1
covid.Treatments.SARS-CoV-2-Proteine,1
covid.Treatments.antiviral,3
covid.Treatments.molekulares Docking,1
covid.Treatments.Hypokalzämie,1
covid.Treatments.Calcium,2
covid.Treatments.Covid-19,7
covid.Treatments.Ebola,1
covid.Treatments.Wissenschaftsführerschaft in Afrika,1
covid.Treatments.Impfstoff,2
covid.Treatments.Gesundheitsvorsorge,2
covid.Treatments.Anti-Spike neutralisierende Antikörper,1
covid.Treatments.RBD IgG-Antikörper,1
covid.Treatments.Covid-Impfstoff-Wirksamkeit,1
covid.Treatments.Zitrusflavanone,1
covid.Treatments.funktionelle Lebensmittel,3
covid.Treatments.Atemwegsvirus,1
covid.Treatments.oxidativer Stress,4
covid.Treatments.metabolisches Syndrom,1
covid.Treatments.Nrf2,1
covid.Treatments.Frühbehandlung,1
covid.Treatments.Cluster-Randomisierung,1
covid.Treatments.Autoimmunität,1
covid.Treatments.Autoinflammation,1
covid.Treatments.Immunantwort,5
covid.Treatments.mRNA-Impfstoff,1
covid.Treatments.Typ-I-Interferon,1
covid.Treatments.adjuvante Therapie,1
covid.Treatments.Curcumin,3
covid.Treatments.entzündungshemmend,1
covid.Treatments.gerinnungshemmend,1
covid.Treatments.Körperimmunität,1
covid.Treatments.Waldbaden,2
covid.Treatments.Flüchtige organische Verbindungen,1
covid.Treatments.Mangel,3
covid.Treatments.Verabreichung von Arzneimitteln,1
covid.Treatments.Genehmigung für den Notfalleinsatz,1
covid.Treatments.Post-COVID-Komplikationen,1
covid.Treatments.Orangen,1
covid.Treatments.Virus and oxidativer stress,1
covid.Treatments.Süßorange,1
covid.Treatments.IL-7,1
covid.Treatments.Immunsuppression,1
covid.Treatments.Thymosin-α,1
covid.Treatments.Antimikrobielle Peptide,1
covid.Treatments.Renin-Angiotensin-System,2
covid.Treatments.Immunomodulation,1
covid.Treatments.Disparitäten,1
covid.Treatments.Ernährungsungleichheiten,1
covid.Treatments.chronisch degenerative nicht übertragbare Krankheiten,1
covid.Treatments.Stress,2
covid.Treatments.Wohlbefinden,2
covid.Treatments.Gesundheitsverhalten,1
covid.Treatments.Stressbewältigung,1
covid.Treatments.Einfluss soziodemografischer Variablen,1
covid.Treatments.Kritische Erkrankung,1
covid.Treatments.ICU,1
covid.Treatments.Serum Vitamin C,1
covid.Treatments.Serum Vitamin D,1
covid.Treatments.Alter,2
covid.Treatments.Body Mass Index,1
covid.Treatments.BMI,1
covid.Treatments.HbA1c,1
covid.Treatments.glykiertes Hämoglobin,1
covid.Treatments.globaler Ausbruch,1
covid.Treatments.Morphologie,1
covid.Treatments.Impfstoff der Universität Oxford,1
covid.Treatments.psychische Gesundheit,5
covid.Treatments.psychische Belastung,1
covid.Treatments.akutes Atemnotsyndrom (ARDS),2
covid.Treatments.akute Atemwegsinfektion (ARTI),1
covid.Treatments.Calcifediol,5
covid.Treatments.Calcitriol,6
covid.Treatments.menschliche Gesundheit,1
covid.Treatments.Infektionskrankheit,4
covid.Treatments.räumliche Praktiken,1
covid.Treatments.räumliche Strategien,1
covid.Treatments.Sport und Raum,1
covid.Treatments.Sportanbieter,1
covid.Treatments.Haltungskontrolle,1
covid.Treatments.Gleichgewicht,1
covid.Treatments.Umlernen,1
covid.Treatments.Inaktivität,2
covid.Treatments.Infektionskrankheiten der Atemwege,1
covid.Treatments.COVID-19-Behandlung,2
covid.Treatments.Wirkung,1
covid.Treatments.kutane Larva migrans,1
covid.Treatments.Demodikose,1
covid.Treatments.Dermatologie,1
covid.Treatments.Dosis,1
covid.Treatments.Arzneimittelwechselwirkung,1
covid.Treatments.Filariose,1
covid.Treatments.Malaria,1
covid.Treatments.Nematoden,1
covid.Treatments.Onchozerkose,1
covid.Treatments.Pedikulose,1
covid.Treatments.Rosacea,1
covid.Treatments.Sicherheit,3
covid.Treatments.Krätze,1
covid.Treatments.Nebenwirkungen,1
covid.Treatments.Tropen,1
covid.Treatments.Anwendungen,1
covid.Treatments.regulatorische T-Lymphozyten,1
covid.Treatments.akutes Atemnotsyndrom,2
covid.Treatments.IL-6,8
covid.Treatments.Serumferritin,1
covid.Treatments.Körperliche Bewegung,1
covid.Treatments.Ältere Menschen,1
covid.Treatments.Naher Osten,1
covid.Treatments.SARS,2
covid.Treatments.Lymphozyten,1
covid.Treatments.Zytokin,2
covid.Treatments.Arginin,2
covid.Treatments.Stickstoffmonoxid,1
covid.Treatments.Multisystemisches Entzündungssyndrom bei Kindern,1
covid.Treatments.Tetrahydrobiopterin,1
covid.Treatments.Tee-Polyphenole,3
covid.Treatments.EGCG,4
covid.Treatments.Theaflavin,2
covid.Treatments.Akute Atemwegserkrankung,1
covid.Treatments.Albumin,1
covid.Treatments.Prä-Infektion,1
covid.Treatments.Influenzaviren,1
covid.Treatments.Virusinfektionen der Atemwege,1
covid.Treatments.chronische Krankheiten,1
covid.Treatments.Irak,1
covid.Treatments.angeborene Immunität,4
covid.Treatments.ernährungsbedingte Immunität,1
covid.Treatments.Intensivpflege,1
covid.Treatments.Intensivpatient,1
covid.Treatments.Biofortifikation,1
covid.Treatments.Virale Immunität,1
covid.Treatments.Coenzym Q10,1
covid.Treatments.Schweres Akutes Respiratorisches Syndrom,2
covid.Treatments.Infektion,8
covid.Treatments.Asien,1
covid.Treatments.Regulatorische T-Zellen,1
covid.Treatments.kardiovaskuläre Komplikationen,1
covid.Treatments.Psychische Gesundheit,1
covid.Treatments.COVID-19-Pandemie,4
covid.Treatments.Bewältigungsverhalten,1
covid.Treatments.integrierter Rahmen,1
covid.Treatments.Selenoproteine,2
covid.Treatments.viral kodierte Selenoproteine,1
covid.Treatments.Krebs,1
covid.Treatments.Anosmie,1
covid.Treatments.Hyposmie,1
covid.Treatments.viszerale Adipositas,1
covid.Treatments.N-Acetyl-5-Methoxytryptamin,1
covid.Treatments.Schlafqualität,1
covid.Treatments.SARS-CoV-1,1
covid.Treatments.rheumatoide Arthritis (RA),1
covid.Treatments.systemischer Lupus erythematodes (SLE),1
covid.Treatments.multiple Sklerose (MS),1
covid.Treatments.respiratorische Symptome,1
covid.Treatments.adaptive Immunität,3
covid.Treatments.Selenmangel,1
covid.Treatments.Schwangerschaft,1
covid.Treatments.Krankheit,1
covid.Treatments.Autoimmunerkrankungen,2
covid.Treatments.SARS-CoV-2 RNA-Virus und RNA-Mutanten,1
covid.Treatments.Zink-Homöostase,1
covid.Treatments.COVID-19-Prävention,1
covid.Treatments.Atemwegs- und Lungenerkrankungen,1
covid.Treatments.Anti-Thrombusbildung,1
covid.Treatments.ZAP-vermittelte RNA-Replikation,1
covid.Treatments.Zink-Ionen-koordinierte Bindung,1
covid.Treatments.KSHV,1
covid.Treatments.EBV,1
covid.Treatments.Spurenelemente,7
covid.Treatments.Zellvermittelte Immunität,2
covid.Treatments.Mangan,2
covid.Treatments.Reaktive Sauerstoffspezies,2
covid.Treatments.Vitamin E,3
covid.Treatments.Vitamin B6,1
covid.Treatments.Vitamin B12,2
covid.Treatments.Folsäure,1
covid.Treatments.Medikamenten-Repurposing,1
covid.Treatments.Importin-Heterodimerkomplex,1
covid.Treatments.Inhibition,1
covid.Treatments.STAT3,1
covid.Treatments.Streptomyces avermitilis,1
covid.Treatments.Viral 3CLpro,1
covid.Treatments.Adipositas,3
covid.Treatments.Adipokine,1
covid.Treatments.Herz-Kreislauf-System,1
covid.Treatments.Insulinresistenz,1
covid.Treatments.Thromboembolie,1
covid.Treatments.Atmung,1
covid.Treatments.antivirale Therapie,1
covid.Treatments.Kombinationstherapie,1
covid.Treatments.langwirksame Virostatika,1
covid.Treatments.Mutagenese,1
covid.Treatments.Nirmatrelvir,3
covid.Treatments.orales Remdesivir,1
covid.Treatments.Proteasehemmer,1
covid.Treatments.Stoffwechsel,3
covid.Treatments.Thrombose,4
covid.Treatments.Antioxidantien,5
covid.Treatments.Coronavirus-Erkrankung (COVID-19),1
covid.Treatments.Schweres Akutes Respiratorisches Syndrom Coronavirus 2,6
covid.Treatments.Vitamin D3,5
covid.Treatments.Hydroxyderivate,1
covid.Treatments.CYP27B1,1
covid.Treatments.SARS-CoV-2-Virus,1
covid.Treatments.Glutathion,2
covid.Treatments.L-Cystein,1
covid.Treatments.Aufnahme auf der Intensivstation,2
covid.Treatments.Immunomodulator,1
covid.Treatments.Hypovitaminose,1
covid.Treatments.Vitamin D-Rezeptor,3
covid.Treatments.Cathelicidin-LL37,1
covid.Treatments.akutes Lungenversagen,1
covid.Treatments.polyphenolische Verbindungen,1
covid.Treatments.Flavandiole,1
covid.Treatments.Flavonole,1
covid.Treatments.Phenolsäuren,1
covid.Treatments.Spironolacton,1
covid.Treatments.Bromhexin,1
covid.Treatments.SHOKS-COVID,1
covid.Treatments.Gesundheitsinformationen,1
covid.Treatments.medizinische Fehler/Patientensicherheit,1
covid.Treatments.Überwachungsprogramme für verschreibungspflichtige Arzneimittel,1
covid.Treatments.Selbstmanagement,1
covid.Treatments.Mikronährstoffmangel,1
covid.Treatments.Nickel,1
covid.Treatments.Chrom,1
covid.Treatments.Omicron-Variante,2
covid.Treatments.NRP1,2
covid.Treatments.Arzneimittelwirksamkeit,1
covid.Treatments.Wirt-Pathogen-Interaktion,2
covid.Treatments.Paxlovid,6
covid.Treatments.Lopinavir,2
covid.Treatments.Bromhexinhydrochlorid-Tabletten,1
covid.Treatments.Atemwegserkrankungen,2
covid.Treatments.zellfreier DNA-Marker,1
covid.Treatments.Lagevrio,1
covid.Treatments.Wirkstoffe,1
